지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),지면온도(°C)
108,서울,2017-01-01 02:00,-.3,,1.9,50,81,4.9,-3.1,1018.5,,,,,,-1.8
108,서울,2017-01-01 03:00,-.7,,2,50,84,4.9,-3,1018.8,,,,0,,-2.1
108,서울,2017-01-01 04:00,-1.1,,1.6,20,85,4.8,-3.3,1018.6,,,,0,,-2.4
108,서울,2017-01-01 05:00,-1.4,,1.4,50,86,4.8,-3.4,1018.3,,,,0,,-2.6
108,서울,2017-01-01 06:00,-1.5,,1.6,20,87,4.8,-3.3,1018.1,,,,3,Sc,-2.7
108,서울,2017-01-01 07:00,-1.5,,1.4,20,87,4.8,-3.3,1018.6,,,,8,Sc,-2.2
108,서울,2017-01-01 08:00,-1.3,,1.4,20,87,4.9,-3.1,1019,0,.01,,8,Sc,-1.8
108,서울,2017-01-01 09:00,-.4,,1.6,20,83,4.9,-2.9,1019.4,0,.16,,9,Sc,-.2
108,서울,2017-01-01 10:00,.8,,2.1,50,77,5,-2.7,1020.1,.1,.28,,9,Sc,.6
108,서울,2017-01-01 11:00,2.5,,1.9,50,71,5.2,-2.2,1019.9,.6,.71,,9,Sc,2.9
108,서울,2017-01-01 12:00,4,,1.3,50,69,5.6,-1.1,1018.7,.2,.86,,9,Sc,3.6
108,서울,2017-01-01 13:00,5.1,,1.4,20,65,5.7,-.9,1017.9,.1,.73,,8,ScCi,5.1
108,서울,2017-01-01 14:00,6.7,,.7,340,61,6,-.3,1017.1,.7,.9,,8,ScCi,7.2
108,서울,2017-01-01 15:00,6.9,,.9,230,65,6.4,.7,1016.8,0,.41,,9,Sc,5
108,서울,2017-01-01 16:00,6.8,,1.2,230,67,6.6,1,1016.5,0,.21,,9,Sc,4.3
108,서울,2017-01-01 17:00,6.5,,.7,20,69,6.7,1.2,1016.2,0,.1,,9,Sc,3.2
